material_id,formula,band_gap,elements,nelements,nsites,volume,density,formation_energy_per_atom,energy_above_hull,is_stable
mp-1019713,Cs4Si3O8,3.658,"['Cs', 'O', 'Si']",3,60,1262.3265799574838,3.914140892908907,-2.792113865408046,0.0,True
mp-573429,Cs5Bi(MoO4)4,3.5181,"['Bi', 'Cs', 'Mo', 'O']",4,52,1045.5778424873913,4.806574942674567,-2.2128400917307696,0.0,True
mp-644925,Cs5Bi(MoO4)4,3.7104,"['Bi', 'Cs', 'Mo', 'O']",4,52,1119.0200382924302,4.491115517452684,-2.130723742049072,0.0,True
mp-1199240,Cs5Mo8P(H3O16)2,3.5554,"['Cs', 'H', 'Mo', 'O', 'P']",5,104,1810.669977082704,3.633583226009851,-2.0070623211618988,0.0,True
mp-1178450,Cs6Ge2O7,3.7026,"['Cs', 'Ge', 'O']",3,30,702.3361891476753,4.987311537022061,-1.950897666195401,0.0,True
mp-557127,Cs6Na2Nb6H36O37,3.6196,"['Cs', 'H', 'Na', 'Nb', 'O']",5,87,1078.2062925090902,3.125026609404016,-1.8487731173642497,0.0,True
mp-18315,Cs6Si2O7,3.1656000000000004,"['Cs', 'O', 'Si']",3,30,663.1045358809317,4.836087304031577,-2.382873220862069,0.0,True
mp-770128,Cs6Ti2O7,3.333,"['Cs', 'O', 'Ti']",3,30,727.7007195254253,4.5873573462507125,-2.48819272197318,0.0,True
mp-542069,Cs8Ta6O19,3.4757,"['Cs', 'O', 'Ta']",3,33,696.4586058410016,5.848400207183325,-2.932882073522466,0.0,True
mp-1197180,Cs8Zr(MoO4)6,3.8578,"['Cs', 'Mo', 'O', 'Zr']",4,39,862.8374873781726,4.068592788945048,-2.300200675057473,0.0,True
mp-679997,CsAg2(B5O8)3,3.5748,"['Ag', 'B', 'Cs', 'O']",4,168,2095.294064681081,2.836523712829444,-2.657623859594964,0.0,True
mp-505784,CsAl(MoO4)2,3.8794,"['Al', 'Cs', 'Mo', 'O']",4,12,228.51196093827477,3.486311429146954,-2.384979827471265,0.0,True
mp-562920,CsAl(SiO3)2,4.7668,"['Al', 'Cs', 'O', 'Si']",4,80,1355.1972622598844,3.058911179847986,-3.2414112239655184,0.0,True
mp-542129,CsAlBP2HO9,5.2653,"['Al', 'B', 'Cs', 'H', 'O', 'P']",6,60,739.8622186289856,3.390357463912329,-2.763287353290504,0.0,True
mp-1198095,CsAlH24(SO10)2,5.2934,"['Al', 'Cs', 'H', 'O', 'S']",5,192,1944.0254774890416,1.941355031232249,-1.54895767457615,0.0,True
mp-24523,CsAlH24(SeO10)2,4.2024,"['Al', 'Cs', 'H', 'O', 'Se']",5,192,1941.498303584345,2.2647516459558075,-1.4199377326425937,0.0,True
mp-14069,CsAlO2,4.2774,"['Al', 'Cs', 'O']",3,8,134.04157594112974,4.7542540388482175,-2.846654709913793,0.0,True
mp-1192933,CsAlSiO4,4.466799999999999,"['Al', 'Cs', 'O', 'Si']",4,28,478.4459130579426,3.4980437124050554,-3.1865651203078817,0.0,True
mp-1185571,CsAs(HO2)2,3.8922,"['As', 'Cs', 'H', 'O']",4,16,263.6134806250058,3.449921459218801,-1.715089245581897,0.0,True
mp-562403,CsAsOF4,3.747100000000001,"['As', 'Cs', 'F', 'O']",4,28,466.6088309377543,4.267925491936411,-2.587006768879309,0.0,True
mp-863006,CsB2H5O6,5.0467,"['B', 'Cs', 'H', 'O']",4,112,1285.639302785157,2.6406987502797645,-1.9659201403027504,0.0,True
mp-1198124,CsB2P2HO9,5.827,"['B', 'Cs', 'H', 'O', 'P']",5,60,795.0388885413857,3.019965671311206,-2.6241792060682827,0.0,True
mp-3977,CsB3O5,5.305300000000001,"['B', 'Cs', 'O']",3,36,490.2885989443354,3.323667764237332,-2.809898508850575,0.0,True
mp-23742,CsB5(H2O3)4,5.6249,"['B', 'Cs', 'H', 'O']",4,104,1192.593022333342,2.1554929738222826,-2.1265727900187885,0.0,True
mp-581194,CsB5O8,5.9417,"['B', 'Cs', 'O']",3,112,1412.743808939851,2.961590978619589,-2.8340878546777506,0.0,True
mp-680683,CsB9O14,5.4514,"['B', 'Cs', 'O']",3,96,1210.5717924164735,2.4920795077296645,-2.829249780818966,0.0,True
mp-561725,CsBO2,3.8411,"['B', 'Cs', 'O']",3,24,453.0072167133924,3.86460122514569,-2.60231991220546,0.0,True
mp-1019717,CsBS3O11,5.643800000000001,"['B', 'Cs', 'O', 'S']",4,64,1040.5864147348673,2.6547579163208748,-2.017156101332615,0.0,True
mp-1019708,CsBaLiP2O7,4.8878,"['Ba', 'Cs', 'Li', 'O', 'P']",5,48,826.812061020936,3.62402565875589,-2.939747212689518,0.0,True
mp-553342,CsBe2BO3F2,5.8834,"['B', 'Be', 'Cs', 'F', 'O']",5,9,128.27848636440282,3.2068901291177747,-3.165632783757982,0.0,True
mp-1201252,CsBe2P2HO8,5.598,"['Be', 'Cs', 'H', 'O', 'P']",5,56,712.6310537475157,3.186534691631364,-2.7368263446564915,0.0,True
mp-1019718,CsBe4(BO3)3,5.4195,"['B', 'Be', 'Cs', 'O']",4,68,743.9235645026857,3.083757345960548,-2.954244681303245,0.0,True
mp-9113,CsBeAsO4,3.8815,"['As', 'Be', 'Cs', 'O']",4,28,431.9805344040169,4.318162486892003,-2.2920412385221667,0.0,True
